Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 03/01/2000 / Data final: 04/01/2010.;;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Média;Mediana;Moda;Desvio padrão;Índice de curtose;
15/06/2009;9,16;1,00034786;192.377.547.547,52;1024;9,15;9,16;9,16;0,107;217,975;
12/06/2009;9,16;1,00034786;199.359.347.495,13;976;9,15;9,16;9,16;0,097;265,228;
10/06/2009;10,15;1,00038370;178.531.056.702,71;1045;10,14;10,16;10,16;0,117;164,543;
09/06/2009;10,16;1,00038406;175.262.859.221,92;1036;10,15;10,16;10,16;0,111;191,94;
08/06/2009;10,16;1,00038406;177.337.694.401,06;1024;10,15;10,16;10,16;0,117;182,769;
05/06/2009;10,16;1,00038406;175.537.357.094,06;1010;10,15;10,16;10,16;0,107;213,711;
04/06/2009;10,16;1,00038406;180.578.304.000,95;1022;10,15;10,16;10,16;0,107;211,421;
03/06/2009;10,16;1,00038406;183.543.728.946,75;1052;10,15;10,16;10,16;0,12;172,474;
02/06/2009;10,16;1,00038406;173.839.686.771,98;1080;10,15;10,16;10,16;0,114;182,254;
01/06/2009;10,16;1,00038406;171.047.141.401,27;1026;10,15;10,16;10,16;0,109;204,996;
29/05/2009;10,16;1,00038406;170.819.495.549,02;1049;10,14;10,16;10,16;0,121;154,221;
28/05/2009;10,16;1,00038406;172.553.565.478,6;1033;10,14;10,16;10,16;0,131;146,175;
27/05/2009;10,16;1,00038406;165.465.453.124,85;1033;10,14;10,16;10,16;0,133;141,213;
26/05/2009;10,16;1,00038406;162.402.267.380,3;1097;10,14;10,16;10,16;0,135;133,275;
25/05/2009;10,16;1,00038406;174.212.252.261,01;1036;10,14;10,16;10,16;0,139;131,62;
22/05/2009;10,16;1,00038406;176.950.347.935,65;1070;10,14;10,16;10,16;0,13;143,377;
21/05/2009;10,16;1,00038406;176.004.571.680,09;1034;10,14;10,16;10,16;0,135;139,47;
20/05/2009;10,16;1,00038406;177.941.433.353,37;1020;10,14;10,16;10,16;0,133;140,723;
19/05/2009;10,16;1,00038406;169.306.791.046,62;1030;10,14;10,16;10,16;0,137;461,438;
18/05/2009;10,16;1,00038406;175.457.465.744,83;1004;10,14;10,16;10,16;0,129;151,731;
15/05/2009;10,16;1,00038406;199.867.944.389,15;984;10,15;10,16;10,16;0,123;160,589;
14/05/2009;10,16;1,00038406;181.785.369.650,32;1030;10,15;10,16;10,16;0,137;1.736,901;
13/05/2009;10,16;1,00038406;181.727.018.351,66;1013;10,15;10,16;10,16;0,114;188,564;
12/05/2009;10,15;1,00038370;180.792.997.232,61;1025;10,14;10,16;10,16;0,117;175,369;
11/05/2009;10,16;1,00038406;184.556.311.069,88;1021;10,15;10,16;10,16;0,11;198,579;
08/05/2009;10,16;1,00038406;198.866.451.535,17;1003;10,15;10,16;10,16;0,111;197,777;
07/05/2009;10,16;1,00038406;202.555.853.135,57;986;10,15;10,16;10,16;0,111;206,236;
06/05/2009;10,16;1,00038406;196.178.726.423,59;1018;10,15;10,16;10,16;0,124;163,8;
