Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 04/01/2010 / Data final: 02/01/2020.;;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Média;Mediana;Moda;Desvio padrão;Índice de curtose;
29/07/2019;6,4;1,00024620;443.192.109.491,37;881;6,4;6,39;6,4;0,027;967,845;
26/07/2019;6,4;1,00024620;433.424.153.880,99;862;6,4;6,39;6,4;0,02;245,775;
25/07/2019;6,4;1,00024620;478.722.379.548,1;892;6,4;6,39;6,4;0,033;429,21;
24/07/2019;6,4;1,00024620;481.751.512.222,02;875;6,4;6,39;6,4;0,025;501,705;
23/07/2019;6,4;1,00024620;474.342.571.139,51;891;6,4;6,39;6,4;0,018;288,607;
22/07/2019;6,4;1,00024620;483.990.384.180,34;912;6,4;6,39;6,4;0,022;443,981;
19/07/2019;6,4;1,00024620;492.729.405.375,03;912;6,4;6,4;6,4;0,023;574,954;
18/07/2019;6,4;1,00024620;519.870.839.805,84;894;6,4;6,39;6,4;0,018;267,236;
17/07/2019;6,4;1,00024620;521.393.013.788,45;895;6,4;6,39;6,4;0,021;364,532;
16/07/2019;6,4;1,00024620;505.390.712.560,34;872;6,4;6,39;6,4;0,022;218,277;
15/07/2019;6,4;1,00024620;512.081.482.700,3;901;6,4;6,39;6,4;0,017;343,362;
12/07/2019;6,4;1,00024620;481.908.029.010;878;6,4;6,39;6,4;0,025;355,006;
11/07/2019;6,4;1,00024620;512.265.672.158,82;892;6,4;6,39;6,4;0,021;402,263;
10/07/2019;6,4;1,00024620;520.268.869.731,07;889;6,4;6,39;6,4;0,019;227,902;
09/07/2019;6,4;1,00024620;467.210.937.215,73;723;6,4;6,39;6,4;0,018;262,658;
08/07/2019;6,4;1,00024620;460.297.550.960,84;700;6,4;6,39;6,4;0,026;457,707;
05/07/2019;6,4;1,00024620;495.060.040.480,48;925;6,4;6,39;6,4;0,023;581,175;
04/07/2019;6,4;1,00024620;490.932.907.391,35;869;6,4;6,39;6,4;0,03;400,055;
